"","current_salaries","adjustments","new_salaries","payrise"
"Employee 1",48633.1641068682,-940.601018955931,47692.5630879123,FALSE
"Employee 2",43935.8365722001,-2128.0612249393,41807.7753472608,FALSE
"Employee 3",47645.8075107075,8780.12707922608,56425.9345899336,TRUE
"Employee 4",45959.7241342999,6998.06275428273,52957.7868885826,TRUE
"Employee 5",43519.3092306145,5839.54907022417,49358.8583008386,TRUE
"Employee 6",48372.9530288838,-909.431403269991,47463.5216256138,FALSE
"Employee 7",48798.53538936,-4293.50083344616,44505.0345559139,FALSE
"Employee 8",43276.9961189479,897.968166973442,44174.9642859213,TRUE
"Employee 9",40270.8551427349,-2396.81696519256,37874.0381775424,FALSE
"Employee 10",44569.2518493161,2447.12985004298,47016.381699359,TRUE
"Employee 11",48697.459641844,6804.15099370293,55501.610635547,TRUE
"Employee 12",41477.3721457459,-412.786548258737,41064.5855974872,FALSE
"Employee 13",41751.9893916324,1848.84437476285,43600.8337663952,TRUE
"Employee 14",46817.3512956128,2732.68200573511,49550.0333013479,TRUE
"Employee 15",48496.768407058,-1504.44752420299,46992.320882855,FALSE
"Employee 16",43075.6110651419,1178.96029143594,44254.5713565778,TRUE
"Employee 17",47258.1073036417,4488.73151559383,51746.8388192356,TRUE
"Employee 18",44859.0107192285,-1225.81629548222,43633.1944237463,FALSE
"Employee 19",44539.6494981833,3807.8907027375,48347.5402009208,TRUE
"Employee 20",46895.8839122206,681.626000441611,47577.5099126622,TRUE
"Employee 21",43849.8603133485,-2809.1455460526,41040.7147672959,FALSE
"Employee 22",41367.0370378532,4562.44464032352,45929.4816781767,TRUE
"Employee 23",46464.5643951371,-44.9438847135752,46419.6205104236,FALSE
"Employee 24",47783.5830743425,6005.14165940695,53788.7247337494,TRUE
"Employee 25",41800.944074057,-4538.88741903938,37262.0566550177,FALSE
"Employee 26",49180.7704255916,6473.9714586176,55654.7418842092,TRUE
"Employee 27",49074.4808013551,-3460.47828439623,45614.0025169589,FALSE
"Employee 28",42241.8378968723,652.072384255007,42893.9102811273,TRUE
"Employee 29",42365.8567620441,3509.138408117,45874.9951701611,TRUE
"Employee 30",47714.578837622,-1704.840346938,46009.738490684,FALSE
"Employee 31",45674.8230010271,2350.10070493445,48024.9237059616,TRUE
"Employee 32",48460.3830310516,6570.37643832155,55030.7594693732,TRUE
"Employee 33",40403.5554896109,5343.80279364996,45747.3582832608,TRUE
"Employee 34",45479.2196000926,-4636.36677712202,40842.8528229706,FALSE
"Employee 35",43714.3321544863,-121.065926505253,43593.2662279811,FALSE
"Employee 36",40982.5594862923,-4844.94661330245,36137.6128729898,FALSE
"Employee 37",45266.2035776302,8209.54757276922,53475.7511503994,TRUE
"Employee 38",48022.3843199201,-444.686175324023,47577.6981445961,FALSE
"Employee 39",41478.6893944256,6323.41103744693,47802.1004318725,TRUE
"Employee 40",46633.5606994107,7287.88205655292,53921.4427559637,TRUE
"Employee 41",46171.5656681918,-3629.93569578975,42541.629972402,FALSE
"Employee 42",40684.3223772012,-431.355338077992,40252.9670391232,FALSE
"Employee 43",49298.2117203064,3847.25166251883,53145.4633828253,TRUE
"Employee 44",43393.1031171232,9307.78911104426,52700.8922281675,TRUE
"Employee 45",43837.3094797134,6828.43004935421,50665.7395290677,TRUE
"Employee 46",48885.6510445476,464.074758347124,49349.7258028947,TRUE
"Employee 47",49138.4465643205,9000.2002264373,58138.6467907578,TRUE
"Employee 48",49051.8815396354,-1313.17078601569,47738.7107536197,FALSE
"Employee 49",42745.1262040995,1062.45868606493,43807.5848901644,TRUE
"Employee 50",47057.8568708152,654.549316968769,47712.4061877839,TRUE
"Employee 51",49795.8997543901,-1753.57281579636,48042.3269385938,FALSE
"Employee 52",42051.6037964262,2139.11502505653,44190.7188214827,TRUE
"Employee 53",45802.2470772266,-4341.91177948378,41460.3352977429,FALSE
"Employee 54",49040.9395704046,6342.19239582308,55383.1319662277,TRUE
"Employee 55",45833.3429554477,4374.2516846396,50207.5946400873,TRUE
"Employee 56",40094.8084844276,-1160.72745062411,38934.0810338035,FALSE
"Employee 57",45671.8239723705,-1908.81669172086,43763.0072806496,FALSE
"Employee 58",41558.634696994,4184.16374130175,45742.7984382957,TRUE
"Employee 59",46289.4618161954,958.133094245568,47247.594910441,TRUE
"Employee 60",47590.2558118105,6738.78726083785,54329.0430726483,TRUE
"Employee 61",41319.3805608898,5696.85065071099,47016.2312116008,TRUE
"Employee 62",44745.0867644511,7654.02617980726,52399.1129442584,TRUE
"Employee 63",44161.2037736923,1460.79297410324,45621.9967477955,TRUE
"Employee 64",46364.7907041013,1689.91698417813,48054.7076882794,TRUE
"Employee 65",47865.9489378333,-1539.93580723181,46326.0131306015,FALSE
"Employee 66",49700.527836103,-3047.6179625839,46652.9098735191,FALSE
"Employee 67",48427.9149980284,9731.88078147359,58159.795779502,TRUE
"Employee 68",45799.0035531111,2311.18247727863,48110.1860303897,TRUE
"Employee 69",41695.6122382544,6319.49200178497,48015.1042400394,TRUE
"Employee 70",41793.0165678263,2099.16222607717,43892.1787939034,TRUE
"Employee 71",43843.6244498007,-1472.39648154937,42371.2279682513,FALSE
"Employee 72",47931.708402466,2286.13720391877,50217.8456063848,TRUE
"Employee 73",45838.5947090574,-4798.71532530524,41039.8793837521,FALSE
"Employee 74",49784.6886352636,-3207.25907222368,46577.4295630399,FALSE
"Employee 75",41144.8394716717,-105.142032261938,41039.6974394098,FALSE
"Employee 76",40262.1221775189,-3749.47368050925,36512.6484970096,FALSE
"Employee 77",48278.4023787826,-2402.0731030032,45876.3292757794,FALSE
"Employee 78",49445.7849464379,-4484.47027709335,44961.3146693446,FALSE
"Employee 79",44556.7821874283,-766.697423532605,43790.0847638957,FALSE
"Employee 80",46528.4109907225,4541.27994016744,51069.6909308899,TRUE
"Employee 81",41154.6684685163,1660.07570107467,42814.744169591,TRUE
"Employee 82",44590.5004953966,5692.51647684723,50283.0169722438,TRUE
"Employee 83",46793.4460518882,-4191.21624203399,42602.2298098542,FALSE
"Employee 84",46465.2220113203,3342.52064232714,49807.7426536474,TRUE
"Employee 85",43958.3292487077,7212.17870828696,51170.5079569947,TRUE
"Employee 86",40997.583779972,8256.53551961295,49254.119299585,TRUE
"Employee 87",40844.8588475585,8205.78618324362,49050.6450308021,TRUE
"Employee 88",41604.1659051552,2737.23799269646,44341.4038978517,TRUE
"Employee 89",40695.6189661287,-3921.37364135124,36774.2453247774,FALSE
"Employee 90",40149.515371304,6075.63464902341,46225.1500203274,TRUE
"Employee 91",45175.9238983504,9274.43609340116,54450.3599917516,TRUE
"Employee 92",42983.2433746196,6190.90667110868,49174.1500457283,TRUE
"Employee 93",42507.8890426084,-1711.25634806231,40796.6326945461,FALSE
"Employee 94",44657.1531356312,7600.64844624139,52257.8015818726,TRUE
"Employee 95",49582.8647445887,6239.5298818592,55822.3946264479,TRUE
"Employee 96",45971.7661235482,-1959.80204152875,44011.9640820194,FALSE
"Employee 97",49062.0470140129,-523.150064982474,48538.8969490305,FALSE
"Employee 98",49570.3317248262,-4384.66697698459,45185.6647478417,FALSE
"Employee 99",40491.3980700076,-1266.3017923478,39225.0962776598,FALSE
"Employee 100",41436.9426760823,-796.248661354184,40640.6940147281,FALSE
